,item_id,name,category,price,old_price,,,,,,,,
0,90420332,FREKVENS,Bar furniture,265.0,No old price,,,,,,,,
1,368814,NORDVIKEN,Bar furniture,995.0,No old price,,,,,,,,
2,9333523,NORDVIKEN / NORDVIKEN,Bar furniture,2095.0,No old price,,,,,,,,
3,80155205,STIG,Bar furniture,69.0,No old price,,,,,,,,
4,30180504,NORBERG,Bar furniture,225.0,No old price,,,,,,,,
5,10122647,INGOLF,Bar furniture,345.0,No old price,,,,,,,,
6,70404875,FRANKLIN,Bar furniture,129.0,No old price,,,,,,,,
7,60155602,DALFRED,Bar furniture,195.0,No old price,,,,,,,,
8,50406465,FRANKLIN,Bar furniture,129.0,No old price,,,,,,,,
9,69304221,EKEDALEN / EKEDALEN,Bar furniture,2176.0,"SR 2,375",,,,,,,,
10,90404879,FRANKLIN,Bar furniture,149.0,No old price,,,,,,,,
